bruto,clt,pj
1000,865.0,579.2
1100,951.5,667.12
1200,1038.0,755.04
1300,1124.5,842.96
1400,1211.0,930.8800000000001
1500,1296.18,1018.8
1600,1381.18,1106.72
1700,1466.18,1194.64
1800,1551.18,1282.56
1900,1636.18,1370.48
2000,1721.18,1458.4
2100,1806.18,1546.32
2200,1891.18,1634.24
2300,1976.1799999999998,1722.16
2400,2061.18,1810.08
2500,2143.4065,1898.0
2600,2221.5815,1985.92
2700,2298.83187,2073.84
2800,2374.23187,2161.76
2900,2449.63187,2249.68
3000,2525.0318700000003,2337.6
3100,2600.24334,2425.52
3200,2669.04334,2513.44
3300,2737.8433400000004,2601.36
3400,2806.64334,2689.28
3500,2875.4433400000003,2777.2
3600,2944.24334,2865.12
3700,3013.04334,2953.04
3800,3081.8433400000004,3040.96
3900,3150.64334,3128.88
4000,3219.4433400000003,3216.8
4100,3286.54385,3304.72
4200,3350.485275,3392.64
4300,3411.135275,3480.56
4400,3471.785275,3568.48
4500,3532.435275,3656.4
4600,3593.0852749999995,3744.32
4700,3653.7352749999995,3832.24
4800,3714.3852749999996,3920.16
4900,3775.0352749999997,4008.08
5000,3835.6852750000007,4096.0
5100,3896.3352750000004,4183.92
5200,3956.985275,4271.84
5300,4013.9062249999997,4359.76
5400,4070.256224999999,4447.68
5500,4126.6062249999995,4535.6
5600,4182.956225,4623.52
5700,4239.306224999999,4711.44
5800,4295.656225,4799.36
5900,4352.006225,4887.28
6000,4408.356225,4975.2
6100,4464.706225,5063.12
6200,4521.056225,5151.04
6300,4577.406225000001,5238.96
6400,4633.756224999999,5326.88
6500,4690.1062249999995,5414.8
6600,4746.456225,5502.72
6700,4802.806224999999,5590.64
6800,4859.156225,5678.56
6900,4915.506224999999,5766.48
7000,4971.8562249999995,5854.4
7100,5028.206225,5942.32
7200,5084.556224999999,6030.24
7300,5140.906225,6118.16
7400,5197.256224999999,6206.08
7500,5253.6062249999995,6294.0
7600,5309.956225,6381.92
7700,5366.306224999999,6469.84
7800,5424.075194999999,6557.76
7900,5490.575194999999,6645.68
8000,5557.075194999999,6733.6
8100,5623.575194999999,6821.52
8200,5690.075194999999,6909.44
8300,5756.575194999999,6997.36
8400,5823.075194999999,7085.28
8500,5889.575194999999,7173.2
8600,5956.075194999999,7261.12
8700,6022.575194999999,7349.04
8800,6089.075194999999,7436.96
8900,6155.575194999999,7524.88
9000,6222.075194999999,7612.8
9100,6288.575194999999,7700.081
9200,6355.075194999999,7786.1320000000005
9300,6421.575194999999,7872.182999999999
9400,6488.075194999999,7958.234
9500,6554.575194999999,8044.285
9600,6621.075194999999,8130.335999999999
9700,6687.575194999999,8216.387
9800,6754.075194999999,8302.438
9900,6820.575194999999,8388.489
10000,6887.075194999999,8474.54
10100,6953.575194999999,8560.591
10200,7020.075194999999,8646.642
10300,7086.575194999999,8732.693
10400,7153.075194999999,8818.744
10500,7219.575194999999,8904.795
10600,7286.075194999999,8990.846
10700,7352.575194999999,9076.897
10800,7419.075194999999,9162.948
10900,7485.575194999999,9248.999
11000,7552.075194999999,9335.050000000001
11100,7618.575194999999,9421.101
11200,7685.075194999999,9507.152
11300,7751.575194999999,9593.203
11400,7818.075194999999,9678.187999999998
11500,7884.575194999999,9762.369999999999
11600,7951.075194999999,9846.552
11700,8017.575194999999,9930.733999999999
11800,8084.075194999999,10014.916
11900,8150.575194999999,10099.098
12000,8217.075195,10183.279999999999
12100,8283.575195,10267.462
12200,8350.075195,10351.644
12300,8416.575195,10435.826
12400,8483.075195,10520.008
12500,8549.575195,10604.19
12600,8616.075195,10688.372
12700,8682.575195,10772.554
12800,8749.075195,10856.736
12900,8815.575195,10940.918
13000,8882.075195,11025.1
13100,8948.575195,11109.282000000001
13200,9015.075195,11193.464
13300,9081.575195,11277.646
13400,9148.075195,11361.828000000001
13500,9214.575195,11446.01
13600,9281.075195,11530.192000000001
13700,9347.575195,11614.374000000002
13800,9414.075195,11698.555999999999
13900,9480.575195,11782.738
14000,9547.075195,11866.92
14100,9613.575195,11951.101999999999
14200,9680.075195,12035.284
14300,9746.575195,12119.466
14400,9813.075195,12203.648
14500,9879.575195,12287.83
14600,9946.075195,12372.011999999999
14700,10012.575195,12456.194
14800,10079.075195,12540.376
14900,10145.575195,12624.557999999999
15000,10212.075195,12708.74
15100,10278.575195,12792.033
15200,10345.075195,12874.346
15300,10411.575195,12956.659
15400,10478.075195,13038.972
15500,10544.575195,13121.285
15600,10611.075195,13203.598
15700,10677.575195,13285.911
15800,10744.075195,13368.224
15900,10810.575195,13450.537
16000,10877.075195,13532.85
16100,10943.575195,13615.163
16200,11010.075195,13697.476
16300,11076.575195,13779.788999999999
16400,11143.075195,13862.101999999999
16500,11209.575195,13944.414999999999
16600,11276.075195,14026.728
16700,11342.575195,14109.041
16800,11409.075195,14191.354
16900,11475.575195,14273.667
17000,11542.075195,14355.98
17100,11608.575195,14438.293
17200,11675.075195,14520.606
17300,11741.575195000001,14602.919
17400,11808.075195000001,14685.232
17500,11874.575195000001,14767.545
17600,11941.075195000001,14849.858
17700,12007.575195000001,14932.171
17800,12074.075195000001,15014.484
17900,12140.575195000001,15096.797
18000,12207.075195000001,15179.11
18100,12273.575195000001,15261.423
18200,12340.075195000001,15343.736
18300,12406.575195000001,15426.049
18400,12473.075195000001,15508.362000000001
18500,12539.575195000001,15590.675000000001
18600,12606.075195000001,15672.988
18700,12672.575195000001,15755.301000000001
18800,12739.075195000001,15836.596
18900,12805.575195000001,15917.663
19000,12872.075195000001,15998.73
19100,12938.575195000001,16079.797
19200,13005.075195000001,16160.863999999998
19300,13071.575195000001,16241.931
19400,13138.075195000001,16322.998
19500,13204.575195000001,16404.065000000002
19600,13271.075195000001,16485.131999999998
19700,13337.575195000001,16566.199
19800,13404.075195000001,16647.266
19900,13470.575195000001,16728.333000000002
20000,13537.075195000001,16809.4
20100,13603.575195000001,16890.466999999997
20200,13670.075195000001,16971.534
20300,13736.575195000001,17052.601
20400,13803.075195000001,17133.668
20500,13869.575195000001,17214.734999999997
20600,13936.075195000001,17295.802
20700,14002.575195000001,17376.869
20800,14069.075195000001,17457.936
20900,14135.575195000001,17539.002999999997
21000,14202.075195000001,17620.07
21100,14268.575195000001,17701.137
21200,14335.075195000001,17782.204
21300,14401.575195000001,17863.271
21400,14468.075195000001,17944.338
21500,14534.575195000001,18025.405
21600,14601.075195000001,18106.472
21700,14667.575195000001,18187.538999999997
21800,14734.075195000001,18268.606
21900,14800.575195000001,18349.673
22000,14867.075195000001,18430.74
22100,14933.575195000001,18511.807
22200,15000.075195000001,18592.874
22300,15066.575195000001,18673.941
22400,15133.075195000001,18755.008
